Date,Time,Open,High,Low,Close,Volume
2007.12.14,00:00,112.300,113.580,112.260,113.230,3936
2007.12.15,00:00,113.230,113.230,113.230,113.230,1
2007.12.16,00:00,113.230,113.480,113.220,113.310,441
2007.12.17,00:00,113.310,113.480,112.720,112.830,3046
2007.12.18,00:00,112.830,113.520,112.820,113.290,3306
2007.12.19,00:00,113.290,113.470,112.720,113.280,3236
2007.12.20,00:00,113.280,113.360,112.770,113.140,2786
2007.12.21,00:00,113.140,114.200,112.930,113.970,2996
2007.12.22,00:00,114.010,114.010,114.010,114.010,1
2007.12.23,00:00,114.010,114.130,113.960,114.060,291
2007.12.24,00:00,114.060,114.470,114.000,114.270,1676
2007.12.25,00:00,114.270,114.270,114.270,114.270,6
2007.12.26,00:00,114.270,114.340,113.970,114.220,1516
2007.12.27,00:00,114.220,114.650,113.550,113.830,3376
2007.12.28,00:00,113.830,113.990,112.280,112.290,4886
2007.12.29,00:00,112.290,112.290,112.290,112.290,1
2007.12.30,00:00,112.290,112.660,112.240,112.260,811
2007.12.31,00:00,112.260,112.300,111.320,111.680,4146
2008.01.01,00:00,111.680,111.680,111.680,111.680,6
2008.01.02,00:00,111.680,111.920,109.200,109.280,6606
